Category,Subcategory,Action,Sentence
lights,none,none,set the lights to red
lights,none,none,please set the lights to red
lights,none,none,set the lights to red
lights,none,none,lights to red
lights,none,none,can you set the lights to white please
lights,none,none,set the lights to white
lights,none,none,please set the lights to orange
lights,none,none,set the lights to orange
lights,none,none,set the lights to yellow
lights,none,none,set the lights to green
lights,none,none,set the lights to blue
lights,none,none,set the lights to purple
lights,none,none,set the lights to sparkle
lights,none,none,set the lights to gradient
lights,none,none,set the lights to red
lights,none,none,please set the lights to red
lights,none,none,set the lights to red
lights,none,none,lights to red
lights,none,none,can you set the lights to white please
lights,none,none,set the lights to white
lights,none,none,please set the lights to orange
lights,none,none,set the lights to orange
lights,none,none,set the lights to yellow
lights,none,none,set the lights to green
lights,none,none,set the lights to blue
lights,none,none,set the lights to purple
lights,none,none,can you set the lights to sparkle
lights,none,none,put the the lights on sparkle
lights,none,none,set the lights to gradient
lights,none,none,turn on the lights
lights,none,none,lights on
lights,none,none,turn off the lights
lights,none,none,turn off the lights
lights,none,none,turn off the lights
lights,none,none,lights off
lights,none,none,shut off the lights
lights,none,none,can you you turn on the lights
lights,none,none,can you turn off the bedroom lights
lights,none,none,can you turn on the bedroom light
lights,none,none,turn on the bedroom lights
lights,none,none,turn off the bedroom lights
lights,none,none,turn off the bedroom
lights,none,none,turn on the bed room
lights,none,none,turn on the bedroom
lights,none,none,can you set the bedroom lamp to red
lights,none,none,change the bedroom lamp color to white
lights,none,none,can you set the bedroom lamp to blue
lights,none,none,bedroom lamp orange
lights,none,none,change the bed room lamp to yellow
lights,none,none,set the bedroom lamp to yellow
lights,none,none,set the bedroom lamp to pink
lights,none,none,set the bedroom lamp to purple
lights,none,none,please change the bedroom lamp to green
lights,none,none,set the lamp to blue
lights,none,none,set the lamp to Orange
lights,none,none,set the lamp to white
lights,none,none,can you change the lamp to yellow
lights,none,none,turn on the bedroom lamp
lights,none,none,turn off the bedroom lamp
lights,none,none,can you please turn off the bedroom lamp
lights,none,none,can you turn off the bedroom lamp
lights,none,none,can you turn on the bedroom lamp
lights,none,none,can you turn off the bathroom lights
lights,none,none,can you turn on the bathroom light
lights,none,none,bathroom lights on
lights,none,none,can you turn off the bathroom 
lights,none,none,can you turn on the bathroom
lights,none,none,can you set the bathroom lights to off
lights,none,none,can you set the bathroom lights to on
lights,none,none,turn off the bathroom
lights,none,none,turn on the bathroom
lights,none,none,turn off the bath room lights
lights,none,none,can you please turn off the bath room light
lights,none,none,turn off the bathroom lights
lights,none,none,set the bathroom light's brightness to 5
lights,none,none,bathroom brightness to seven
lights,none,none,set the bathroom brightness to 9
lights,none,none,please change the bathroom brightness to 10
lights,none,none,please change the bathroom brightness to 10
lights,none,none,change brightness in bathroom to 5
lights,none,none,can you adjust the bathroom brightness to 8
lights,none,none,set the bedroom light's brightness to 4
lights,none,none,bedroom brightness to eight
lights,none,none,set the bedroom brightness to 7
lights,none,none,please change the bedroom brightness to 4
lights,none,none,change the bedroom brightness to 6
lights,none,none,change brightness in bedroom to 9
lights,none,none,can you adjust the bedroom brightness to 1
lights,none,none,can you set the bedroom lights to 9
lights,none,none,set the bedroom lamp's brightness to 5
lights,none,none,bedroom lamp brightness to seven
lights,none,none,set the bedroom lamp brightness to 9
lights,none,none,please change the lamp's brightness to 10
lights,none,none,please change the bedroom lamp's brightness to 10
lights,none,none,change brightness of lamp to 5
lights,none,none,can you adjust the bedroom lamp brightness to 8
lights,none,none,can you set the bedroom lamp to 2
lights,none,none,bedroom lamp to 6
lights,none,none,bedroom light to 6
lights,none,none,can you set the bedroom lights brightness to 6
music,none,pause,pause music
music,none,pause,pause
music,none,resume,play music
music,none,pause,can you please pause the music
music,none,resume,resume music
music,none,resume,play music please
music,none,next,next song
music,none,next,go to the next song
music,none,next,skip this song
music,none,next,next track
music,none,previous,go back a song
music,none,previous,previous song
music,none,previous,can you go back to the last song
conv,none,none,"Good morning, how are you?"
conv,none,none,"I am doing well, how about you?"
conv,none,none,I'm also good.
conv,none,none,That's good to hear.
conv,none,none,Yes it is.
conv,none,none,Hello
conv,none,none,Hi
conv,none,none,How are you doing?
conv,none,none,I am doing well.
conv,none,none,That is good to hear
conv,none,none,Yes it is.
conv,none,none,Can I help you with anything?
conv,none,none,"Yes, I have a question."
conv,none,none,What is your question?
conv,none,none,Could I borrow a cup of sugar?
conv,none,none,"I'm sorry, but I don't have any."
conv,none,none,Thank you anyway
conv,none,none,No problem
conv,none,none,How are you doing?
conv,none,none,"I am doing well, how about you?"
conv,none,none,I am also good.
conv,none,none,That's good.
conv,none,none,Have you heard the news?
conv,none,none,What good news?
conv,none,none,What is your favorite book?
conv,none,none,I can't read.
conv,none,none,So what's your favorite color?
conv,none,none,Who are you?
conv,none,none,Who? Who is but a form following the function of what
conv,none,none,What are you then?
conv,none,none,A man in a mask.
conv,none,none,I can see that.
conv,none,none,"It's not your powers of observation I doubt, but merely the paradoxical nature of asking a masked man who is. But tell me, do you like music?"
conv,none,none,I like seeing movies.
conv,none,none,What kind of movies do you like?
conv,none,none,Alice in Wonderland
conv,none,none,I wish I was The Mad Hatter.
conv,none,none,You're entirely bonkers. But I'll tell you a secret. All the best people are.
conv,none,none,I am working on a project
conv,none,none,What are you working on?
conv,none,none,I am baking a cake.
conv,none,none,The cake is a lie.
conv,none,none,No it is not. The cake is delicious.
